Square Footage of Unique Dorms,Unique Dorms,Selection Time (Individual) 2023,Selection Time (Group) 2023,2023 Selection Time,Selection Time (Individual) 2024,Selection Time (Group) 2024,2024 Selection Time,Selection Time (Individual) 2025,Selection Time (Group) 2025,2025 Selection Time,Occupancy,AC
121,Clark III - 205,4/11/2023 20:54,4/13/2023 17:15,4/11/2023 20:54,,,,4/8/2025 20:48,No Selection Time Issued,4/8/2025 20:48,1,FALSE
121,Clark III - 206,4/11/2023 18:18,4/11/2023 19:12,4/11/2023 18:18,,4/11/2024 18:42,4/11/2024 18:42,4/8/2025 21:00,No Selection Time Issued,4/8/2025 21:00,1,FALSE
143,Clark III - 209,4/11/2023 19:45,4/12/2023 17:24,4/11/2023 19:45,4/9/2024 18:42,4/10/2024 17:24,4/9/2024 18:42,,,,1,FALSE
161,Clark III - 210,4/11/2023 20:15,4/11/2023 19:54,4/11/2023 19:54,4/9/2024 19:12,4/9/2024 17:03,4/9/2024 17:03,,,,1,FALSE
166,Clark III - 211,4/11/2023 21:45,4/12/2023 17:24,4/11/2023 21:45,4/9/2024 17:48,,4/9/2024 17:48,,,,1,FALSE
175,Clark III - 212,,,,,,,4/8/2025 17:21,No Selection Time Issued,4/8/2025 17:21,1,FALSE
227,Clark III - 213,4/11/2023 18:21,4/11/2023 19:09,4/11/2023 18:21,,4/10/2024 17:36,4/10/2024 17:36,,,,1,FALSE
165,Clark III - 214,4/11/2023 19:51,4/12/2023 18:39,4/11/2023 19:51,4/9/2024 17:39,,4/9/2024 17:39,4/8/2025 19:30,No Selection Time Issued,4/8/2025 19:30,1,FALSE
165,Clark III - 215,4/11/2023 20:24,4/11/2023 19:12,4/11/2023 19:12,,4/10/2024 17:18,4/10/2024 17:18,4/8/2025 18:27,4/8/2025 18:27,4/8/2025 18:27,1,FALSE
201,Clark III - 216,4/12/2023 20:42,4/11/2023 17:33,4/11/2023 17:33,4/10/2024 20:30,4/9/2024 17:15,4/9/2024 17:15,,,,2,FALSE
161,Clark III - 217,4/11/2023 19:15,4/11/2023 17:09,4/11/2023 17:09,4/9/2024 19:45,4/11/2024 18:54,4/9/2024 19:45,4/8/2025 19:45,No Selection Time Issued,4/8/2025 19:45,1,FALSE
161,Clark III - 218,4/11/2023 20:06,4/11/2023 17:24,4/11/2023 17:24,4/9/2024 18:24,4/10/2024 17:36,4/9/2024 18:24,4/8/2025 19:42,No Selection Time Issued,4/8/2025 19:42,1,FALSE
161,Clark III - 219,4/11/2023 20:30,4/11/2023 19:12,4/11/2023 19:12,4/9/2024 20:12,4/9/2024 20:45,4/9/2024 20:12,4/8/2025 19:48,No Selection Time Issued,4/8/2025 19:48,1,FALSE
247,Clark III - 220,4/12/2023 17:45,4/11/2023 18:42,4/11/2023 18:42,4/10/2024 18:27,4/9/2024 17:00,4/9/2024 17:00,4/9/2025 19:57,4/9/2025 19:51,4/9/2025 19:51,2,FALSE
141,Clark III - 221,4/11/2023 19:54,4/11/2023 18:54,4/11/2023 18:54,4/9/2024 20:09,4/11/2024 17:00,4/9/2024 20:09,4/8/2025 20:48,No Selection Time Issued,4/8/2025 20:48,1,FALSE
147,Clark III - 222,4/11/2023 20:45,4/11/2023 17:24,4/11/2023 17:24,4/9/2024 18:39,4/10/2024 18:15,4/9/2024 18:39,4/8/2025 20:48,No Selection Time Issued,4/8/2025 20:48,1,FALSE
146,Clark III - 223,4/11/2023 20:48,4/12/2023 17:36,4/11/2023 20:48,4/9/2024 18:39,4/9/2024 18:18,4/9/2024 18:18,4/8/2025 19:57,No Selection Time Issued,4/8/2025 19:57,1,FALSE
209,Clark III - 224,4/12/2023 18:54,4/11/2023 17:00,4/11/2023 17:00,4/10/2024 19:45,4/11/2024 17:00,4/10/2024 19:45,,,,2,FALSE
158,Clark III - 225,4/11/2023 19:30,4/11/2023 17:06,4/11/2023 17:06,4/9/2024 19:15,4/10/2024 19:48,4/9/2024 19:15,4/8/2025 19:42,No Selection Time Issued,4/8/2025 19:42,1,FALSE
173,Clark III - 226,4/11/2023 18:42,4/12/2023 17:27,4/11/2023 18:42,4/9/2024 18:33,,4/9/2024 18:33,4/8/2025 18:21,No Selection Time Issued,4/8/2025 18:21,1,FALSE
173,Clark III - 227,4/11/2023 18:42,4/11/2023 17:18,4/11/2023 17:18,,4/11/2024 18:24,4/11/2024 18:24,4/8/2025 18:54,No Selection Time Issued,4/8/2025 18:54,1,FALSE
177,Clark III - 300,4/11/2023 21:03,No Selection Time Issued,4/11/2023 21:03,4/9/2024 19:48,4/10/2024 20:18,4/9/2024 19:48,,,,1,FALSE
